id,toponym,ski_slope,psi_intervall,geol_class,soil_class,humus_type,vegetation_class,pasture,ground_cover,slope,geomorphon,soil_depth,skeleton,embedded_rock_type,soiltexture,bulk_density,total_pore_volume_10,coarse_pore_volume_10,pre_moisture,moisture_intervall,saturation_deficit,saturation_deficit_intervall
1_1_1,dobratsch,no,0,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,mull,forest,low,90,17.99,mid-slope,mittelgründig,30,LOC,uL,0.8,69.57,21.77,15.8,35.05,0.766755240625923,0.482580454679657
123_1_1,hauser kaibling,no,0.79,Cover layer on metamorphic bedrock,disturbed_soil,none,grassland,no,95,20.62,mid-slope,sehr flachgründig,26.5,EGE,S,1.19,57.54,11.58,34.42,39.5,0.410060844973862,0.322992544348273
124_1_1,hauser kaibling,yes,0.81,Cover layer on metamorphic bedrock,disturbed_soil,none,grassland,medium,90,14.99,mid-slope,sehr flachgründig,29.1,EGE,S,1.12,58.31,10.34,31.48,40.85,0.501278772378517,0.303619208562174
125_1_1,hauser kaibling,yes,0.84,Cover layer on metamorphic bedrock,disturbed_soil,none,grassland,medium,90,14.92,mid-slope,sehr flachgründig,30,EGE,S,1.12,47.33,7.56,34.5,43.23,0.546942866688941,0.398435054773083
126_1_1,schladming,yes,0.77,Cover layer on metamorphic bedrock,disturbed_soil,mull,grassland,medium,100,21.14,mid-slope,mittelgründig,30,EHO,lS,1.11,56.58,24.43,9.4,33,0.833863556026865,0.569976544175137
127_1_1,schladming,no,0.01,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,80,22.16,mid-slope,mittelgründig,10,EHO,sU,0.48,76.74,38.59,13.5,33,0.824081313526192,0.569976544175137
128_1_1,schladming,no,0.09,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,mor,forest,no,100,22.55,mid-slope,mittelgründig,20,LOC,uS,0.73,65.92,7.56,32.7,37.4,0.503944174757281,0.342485549132948
129_1_1,schladming,no,0.49,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,90,23.04,mid-slope,mittelgründig,10.5,EHO,lS,0.49,75.85,17.03,39.35,57,0.48121292023731,0.13349358974359
130_1_1,schladming,yes,0.57,Cover layer on metamorphic bedrock,disturbed_soil,mull,grassland,no,100,18.32,mid-slope,flachgründig,25,EHO,lS,0.77,63.98,13.6,26.8,47.6,0.581119099718662,0.0833793484262838
131_1_1,schladming,no,0.02,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,10,27.62,plateau,mittelgründig,8,LOC,lS,0.5,70.93,29.68,2.4,23.25,0.95937711577522,0.606731620903454
132_1_1,schladming,yes,0.08,Cover layer on metamorphic bedrock,disturbed_soil,mull,grassland,no,90,24.06,mid-slope,flachgründig,30,LOC,lS,1.07,46.96,38.59,11.65,33.1,0.66523835029459,0.666729076951882
133_1_1,schladming,yes,0.04,Cover layer on metamorphic bedrock,disturbed_soil,mull,grassland,no,90,21.93,mid-slope,flachgründig,8,LOC,lS,1.12,56.01,20.1,18.75,17.8,0.66523835029459,0.569976544175137
134_1_1,schladming,yes,0.94,Talus/Scree,disturbed_soil,mull,grassland,intensive,100,13.21,mid-slope,mittelgründig,28.5,EGE,lS,1.62,46.96,9.9,24.85,40.85,0.470826235093697,0.0833793484262838
135_1_1,schladming,no,0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,100,20.27,mid-slope,mittelgründig,45,LOC,lS,0.64,72.4,16.78,8.85,39.65,0.877762430939227,0.452348066298343
136_1_1,schladming,yes,0.94,Talus/Scree,disturbed_soil,mull,grassland,no,100,12.27,ridge,mittelgründig,22.5,EGE,lS,1.05,58.53,16.58,17.9,48.05,0.694173927900222,0.424773413897281
137_1_1,schladming,no,0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,mor,forest,no,100,22.9,mid-slope,mittelgründig,30,EHO,uS,0.6,73.45,17.89,12.93,39.45,0.823961878829135,0.462899931926481
