t,type,AK
4,exp,0
6,exp,0.1
7,exp,0.232105263
8,exp,0.45131579
9,exp,0.622236842
10,exp,0.702763159
11,exp,0.644736843
12,exp,0.623815789
13,exp,0.71519737
14,exp,0.782763159
15,exp,0.736297376
16,exp,0.744285715
17,exp,0.764285715
18,exp,0.772857143
19,exp,0.812857143
20,exp,0.815714286
22,exp,0.71
23,exp,0.718571429
24,exp,0.727142858
25,exp,0.741428572
26,exp,0.788221575
27,exp,0.841428572
28,exp,0.85
29,exp,0.824285714
30,exp,0.795714286
31,exp,0.825263158
32,exp,0.767236842
33,exp,0.805921053
34,exp,0.754342106
36,exp,0.796250001
37,exp,0.805921053
38,exp,0.715657896
39,exp,0.75756579
40,exp,0.825263158
41,exp,0.773684211
42,exp,0.735
43,exp,0.786578948
44,exp,0.773684211
46,exp,0.776907895
47,exp,0.812368421
50,exp,0.754342106
51,exp,0.786578948
52,exp,0.81881579
53,exp,0.747894737
54,exp,0.776907895
55,exp,0.799473685
58,exp,0.747894737
59,exp,0.767236842
60,exp,0.76
