psi_intervall,geol_class,soil_class,humus_type,vegetation_class,pasture,ground_cover,slope,geomorphon,soil_depth,skeleton,embedded_rock_type,soiltexture,bulk_density,sd_delta
0,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,mull,forest,low,90,17.99,mid-slope,mittelgründig,30,LOC,uL,0.8,-0.28417478594626605
0.79,Cover layer on metamorphic bedrock,disturbed_soil,none,grassland,no,95,20.62,mid-slope,sehr flachgründig,26.5,EGE,S,1.19,-0.08706830062558901
0.01,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,80,22.16,mid-slope,mittelgründig,10,EHO,sU,0.48,-0.25410476935105497
0.09,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,mor,forest,no,100,22.55,mid-slope,mittelgründig,20,LOC,uS,0.73,-0.16145862562433305
0.49,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,90,23.04,mid-slope,mittelgründig,10.5,EHO,lS,0.49,-0.34771933049372
0.02,Cover layer on metamorphic bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,10,27.62,plateau,mittelgründig,8,LOC,lS,0.5,-0.352645494871766
0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,100,20.27,mid-slope,mittelgründig,45,LOC,lS,0.64,-0.425414364640884
0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,mor,forest,no,100,22.9,mid-slope,mittelgründig,30,EHO,uS,0.6,-0.361061946902654
0.53,"Glacial sediment, possibly solidified",disturbed_soil,mull,grassland,no,100,16.85,mid-slope,mittelgründig,12.2,EGE,lS,0.58,-0.5059972105997206
0.45,"Glacial sediment, possibly solidified",cambisol_cambic-phaeozem_cambic-umbrisol,mull,grassland,low,100,14.04,mid-slope,mittelgründig,6.4,EGE,uS,0.59,-0.1634128705712224
0.35,Anthropogenic debris,disturbed_soil,mull,grassland,no,98,20.87,mid-slope,mittelgründig,5,EHO,lS,0.66,-0.36012719071211996
0,Glacial sediment,disturbed_soil,none,grassland,no,85,21.06,trench,sehr flachgründig,60,LOC,S,1.05,-0.30177031970803103
0.23,Glacial sediment,disturbed_soil,mull,grassland,no,90,20.79,mid-slope,flachgründig,30,LOC,lS,1.37,-0.11972522080471004
0.77,Glacial sediment,regosol_phaeozem_umbrisol_folic-histosol,mull,grassland,intensive,99,19.05,mid-slope,mittelgründig,5,EHO,lS,0.44,-0.05656590231737796
0.01,Anthropogenic debris,cambisol_cambic-phaeozem_cambic-umbrisol,none,grassland,no,90,31.95,escarpment,mittelgründig,45,LOC,lS,1.17,-0.20501778693128603
0.67,Talus/Scree,disturbed_soil,mull,grassland,medium,100,12.54,mid-slope,mittelgründig,5,EHO,sL,0.61,-0.179752756431674
0.04,Anthropogenic debris,disturbed_soil,none,grassland,no,90,27.92,trench,mittelgründig,30,LOC,S,1.07,-0.280248007085917
0,Anthropogenic debris,regosol_phaeozem_umbrisol_folic-histosol,none,grassland,no,80,20.57,mid-slope,mittelgründig,40,LOC,lS,1.23,-0.279854516063851
0.37,"Glacial sediment, potentially very loose",regosol_phaeozem_umbrisol_folic-histosol,moder,shrubs,low,100,27.37,lower-slope,mittelgründig,5,LOC,sU,0.33,-0.19858415202970311
0.25,"Glacial sediment, potentially very loose",regosol_phaeozem_umbrisol_folic-histosol,moder,shrubs,low,100,27.37,lower-slope,mittelgründig,10.5,LOC,sU,0.45,-0.18269171978416798
0.21,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,50,29.25,escarpment,mittelgründig,10.5,EHO,sU,0.59,-0.3245138427749586
0.04,"Glacial sediment, potentially very loose",cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,50,29.25,escarpment,mittelgründig,20,EHO,sU,0.33,-0.3805648589691301
0.64,"Glacial sediment, possibly solidified",planosol-stagnosol,mull,grassland,medium,100,23.37,escarpment,tiefgründig,12.5,EGE,lU,0.89,0.0026016824212990175
0.03,Glacial sediment,albic-podzol_entic-podzol,moder,shrubs,no,100,32.02,escarpment,tiefgründig,15,LOC,lS,0.58,-0.299226575377203
0.52,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,50,30.63,mid-slope,mittelgründig,14,LOC,lS,0.74,-0.349519230769231
0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,99,36.33,mid-slope,mittelgründig,85.32258065,EHO,uS,0.49,-0.40884693195668703
0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,low,99,32.6,escarpment,mittelgründig,85.32258065,EHO,uS,0.56,-0.45146961597261204
0.38,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,shrubs,no,80,10.57,plateau,mittelgründig,50.88,EHO,uS,0.69,-0.389984350547731
0.01,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,20,11.22,plateau,mittelgründig,45.56,LOC,uS,0.33,-0.282623486188597
0.03,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,90,16.63,plateau,mittelgründig,29.1,EHO,uS,0.56,-0.349950711167441
0,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,mull,shrubs,no,100,15.48,plateau,mittelgründig,45.17,EHO,S,0.73,-0.5758460203518182
0,Glacial sediment,albic-podzol_entic-podzol,mor,shrubs,no,100,28.85,escarpment,mittelgründig,10,EHO,S,0.8,-0.372066643034385
0.63,Glacial sediment,cambisol_cambic-phaeozem,none,grassland,intensive,95,17.8,mid-slope,mittelgründig,28.5,EGE,uL,0.89,-0.15968379446640313
0,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,mull,forest,no,100,13.49,mid-slope,mittelgründig,50.88,LOC,lU,0.89,-0.21257750221434896
0.69,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,100,10.58,escarpment,mittelgründig,30,EGE,uL,0.76,-0.0817391304347829
0.66,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,100,10.58,escarpment,mittelgründig,30,EGE,uL,0.76,-0.0624505928853754
0.03,Cover layer on carbonate bedrock,regosol_phaeozem_umbrisol_folic-histosol,none,shrubs,medium,80,13.03,mid-slope,sehr flachgründig,60,LOC,uL,0.6,-0.2019535011693496
0.85,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,90,28.83,escarpment,mittelgründig,30,EGE,uL,0.82,-0.05215173540055801
0.81,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,90,28.83,escarpment,mittelgründig,30,EGE,uL,0.82,-0.140660020094289
